NO_ID,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,fire_alarm
2992.0,1654736323.0,11.697,51.06,179.0,400.0,13139.0,19994.0,939.644,0.84,0.87,5.79,0.902,0.02,2992.0,0
3002.0,1654736333.0,11.573,51.67,181.0,400.0,13142.0,19990.0,939.649,0.7,0.72,4.8,0.748,0.017,3002.0,0
3012.0,1654736343.0,11.449,47.13,159.0,400.0,13161.0,20007.0,939.671,0.78,0.81,5.38,0.839,0.019,3012.0,0
3022.0,1654736353.0,11.325,45.59,177.0,400.0,13149.0,19999.0,939.667,0.87,0.91,6.02,0.939,0.021,3022.0,0
3032.0,1654736363.0,11.201,44.99,170.0,400.0,13155.0,20014.0,939.67,0.77,0.8,5.3,0.826,0.019,3032.0,0
3042.0,1654736373.0,11.077,49.23,183.0,400.0,13143.0,19990.0,939.658,0.66,0.68,4.53,0.706,0.016,3042.0,0
3052.0,1654736383.0,10.953,51.21,185.0,400.0,13147.0,19988.0,939.676,0.86,0.89,5.91,0.922,0.021,3052.0,0
3062.0,1654736393.0,10.828,52.07,157.0,400.0,13169.0,20025.0,939.679,0.9,0.93,6.18,0.964,0.022,3062.0,0
3072.0,1654736403.0,10.704,47.58,138.0,400.0,13173.0,20031.0,939.681,0.93,0.96,6.39,0.996,0.023,3072.0,0
3082.0,1654736413.0,10.579,45.82,135.0,400.0,13164.0,20020.0,939.68,0.93,0.97,6.4,0.998,0.023,3082.0,0
3092.0,1654736423.0,10.454,45.21,156.0,400.0,13157.0,20018.0,939.665,0.79,0.82,5.45,0.849,0.019,3092.0,0
3102.0,1654736433.0,10.33,49.42,178.0,400.0,13151.0,20000.0,939.646,0.72,0.75,4.94,0.771,0.017,3102.0,0
3112.0,1654736443.0,10.205,51.13,165.0,400.0,13155.0,20012.0,939.662,0.74,0.77,5.08,0.792,0.018,3112.0,0
3122.0,1654736453.0,10.08,51.73,177.0,400.0,13150.0,19995.0,939.655,0.86,0.9,5.95,0.927,0.021,3122.0,0
3132.0,1654736463.0,9.955,47.16,171.0,400.0,13154.0,19996.0,939.628,0.89,0.93,6.15,0.96,0.022,3132.0,0
3142.0,1654736473.0,9.83,45.48,175.0,400.0,13150.0,19991.0,939.611,0.76,0.79,5.21,0.812,0.018,3142.0,0
3152.0,1654736483.0,9.706,44.88,170.0,400.0,13154.0,19998.0,939.633,0.73,0.76,5.04,0.785,0.018,3152.0,0
3162.0,1654736493.0,9.581,49.0,196.0,400.0,13139.0,19976.0,939.646,0.83,0.86,5.68,0.886,0.02,3162.0,0
3172.0,1654736503.0,9.456,50.73,192.0,400.0,13140.0,19978.0,939.638,0.77,0.8,5.29,0.825,0.019,3172.0,0
