NO_ID,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,fire_alarm
5.0,1654733336.0,20.073,54.12,0.0,400.0,12419.0,18998.0,939.725,0.0,0.0,0.0,0.0,0.0,5.0,0
15.0,1654733346.0,20.219,50.99,0.0,400.0,12475.0,19362.0,939.741,0.64,2.66,0.0,3.077,1.959,15.0,0
25.0,1654733356.0,20.363,49.65,0.0,401.0,12499.0,19516.0,939.774,0.21,0.89,0.0,1.026,0.653,25.0,0
35.0,1654733366.0,20.505,53.12,3.0,413.0,12490.0,19541.0,939.754,0.09,0.31,0.07,0.359,0.215,35.0,0
45.0,1654733376.0,20.645,55.86,8.0,404.0,12501.0,19574.0,939.754,0.03,0.09,0.02,0.1,0.06,45.0,0
55.0,1654733386.0,20.784,56.91,0.0,400.0,12535.0,19628.0,939.722,0.01,0.02,0.01,0.028,0.017,55.0,0
65.0,1654733396.0,20.921,51.94,27.0,415.0,12527.0,19623.0,939.758,0.15,0.54,0.05,0.624,0.381,65.0,0
75.0,1654733406.0,21.057,49.93,20.0,417.0,12526.0,19622.0,939.779,0.05,0.19,0.02,0.219,0.133,75.0,0
85.0,1654733416.0,21.19,49.07,41.0,448.0,12515.0,19596.0,939.779,0.02,0.06,0.0,0.064,0.039,85.0,0
95.0,1654733426.0,21.323,53.65,23.0,419.0,12528.0,19619.0,939.799,0.22,0.69,0.39,0.788,0.449,95.0,0
105.0,1654733436.0,21.453,55.81,15.0,406.0,12530.0,19631.0,939.789,0.06,0.19,0.11,0.217,0.124,105.0,0
115.0,1654733446.0,21.582,56.91,0.0,400.0,12565.0,19664.0,939.8,0.02,0.06,0.04,0.071,0.041,115.0,0
125.0,1654733456.0,21.709,52.01,2.0,413.0,12567.0,19661.0,939.804,0.01,0.02,0.01,0.02,0.011,125.0,0
135.0,1654733466.0,21.835,50.04,10.0,426.0,12559.0,19649.0,939.796,0.0,0.0,0.0,0.005,0.003,135.0,0
145.0,1654733476.0,21.959,49.16,28.0,442.0,12547.0,19629.0,939.812,0.0,0.0,0.0,0.001,0.001,145.0,0
155.0,1654733486.0,22.081,53.75,16.0,426.0,12554.0,19644.0,939.817,0.02,0.06,0.06,0.067,0.035,155.0,0
165.0,1654733496.0,22.202,55.88,18.0,417.0,12567.0,19656.0,939.812,0.0,0.0,0.0,0.0,0.0,165.0,0
175.0,1654733506.0,22.321,56.99,0.0,400.0,12592.0,19679.0,939.817,0.0,0.0,0.0,0.0,0.0,175.0,0
185.0,1654733516.0,22.438,50.83,12.0,400.0,12596.0,19688.0,939.806,0.0,0.0,0.0,0.0,0.0,185.0,0
195.0,1654733526.0,22.554,49.63,6.0,401.0,12594.0,19673.0,939.81,0.75,1.91,2.31,2.158,1.117,195.0,0
205.0,1654733536.0,22.669,52.22,22.0,416.0,12582.0,19652.0,939.813,0.34,0.77,1.3,0.866,0.414,205.0,0
215.0,1654733546.0,22.781,55.66,8.0,400.0,12601.0,19672.0,939.801,0.11,0.23,0.5,0.261,0.115,215.0,0
225.0,1654733556.0,22.892,56.75,10.0,400.0,12610.0,19673.0,939.8,0.06,0.1,0.26,0.115,0.047,225.0,0
235.0,1654733566.0,23.002,52.52,4.0,400.0,12630.0,19701.0,939.815,0.04,0.07,0.18,0.079,0.032,235.0,0
245.0,1654733576.0,23.11,50.31,1.0,400.0,12633.0,19704.0,939.816,0.1,0.19,0.5,0.208,0.082,245.0,0
255.0,1654733586.0,23.216,49.31,33.0,400.0,12616.0,19686.0,939.811,0.09,0.17,0.48,0.187,0.071,255.0,0
265.0,1654733596.0,23.321,54.43,31.0,400.0,12632.0,19698.0,939.798,0.11,0.2,0.59,0.214,0.077,265.0,0
275.0,1654733606.0,23.425,56.27,16.0,400.0,12640.0,19699.0,939.806,0.17,0.27,0.9,0.295,0.098,275.0,0
285.0,1654733616.0,23.526,56.32,0.0,400.0,12674.0,19744.0,939.781,0.21,0.32,1.21,0.352,0.105,285.0,0
295.0,1654733626.0,23.627,51.38,6.0,400.0,12666.0,19729.0,939.799,0.12,0.18,0.66,0.192,0.057,295.0,0
305.0,1654733636.0,23.725,49.81,4.0,400.0,12672.0,19729.0,939.802,0.06,0.09,0.35,0.099,0.028,305.0,0
315.0,1654733646.0,23.822,51.89,32.0,400.0,12651.0,19688.0,939.781,0.06,0.08,0.33,0.09,0.025,315.0,0
325.0,1654733656.0,23.918,55.25,9.0,400.0,12671.0,19715.0,939.787,0.06,0.09,0.35,0.093,0.025,325.0,0
335.0,1654733666.0,24.012,56.66,9.0,400.0,12674.0,19714.0,939.809,0.09,0.13,0.56,0.142,0.035,335.0,0
345.0,1654733676.0,24.105,53.94,2.0,400.0,12701.0,19747.0,939.804,0.08,0.11,0.47,0.116,0.028,345.0,0
355.0,1654733686.0,24.196,50.74,12.0,400.0,12700.0,19741.0,939.823,0.08,0.11,0.51,0.12,0.027,355.0,0
365.0,1654733696.0,24.285,49.7,17.0,400.0,12699.0,19738.0,939.794,0.07,0.09,0.43,0.099,0.022,365.0,0
375.0,1654733706.0,24.373,53.27,20.0,400.0,12690.0,19734.0,939.813,0.03,0.04,0.19,0.044,0.01,375.0,0
385.0,1654733716.0,24.46,55.85,11.0,400.0,12703.0,19733.0,939.848,0.05,0.07,0.32,0.073,0.015,385.0,0
