NO_ID,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,fire_alarm
53543.0,1654714588.0,26.22,46.8,198.0,459.0,12767.0,20531.0,937.335,1.91,1.99,13.16,2.052,0.046,2401.0,0
53553.0,1654714598.0,25.86,48.23,168.0,432.0,12776.0,20551.0,937.325,1.87,1.95,12.89,2.011,0.045,2411.0,0
53563.0,1654714608.0,25.68,48.78,176.0,437.0,12765.0,20547.0,937.326,1.89,1.96,12.98,2.023,0.046,2421.0,0
53573.0,1654714618.0,28.27,43.57,164.0,432.0,12781.0,20564.0,937.344,1.91,1.98,13.14,2.049,0.046,2431.0,0
53583.0,1654714628.0,28.66,42.31,158.0,430.0,12777.0,20564.0,937.33,1.96,2.04,13.49,2.104,0.048,2441.0,0
53593.0,1654714638.0,28.86,41.84,159.0,436.0,12774.0,20564.0,937.284,1.89,1.96,13.02,2.03,0.046,2451.0,0
53603.0,1654714648.0,26.23,46.93,175.0,451.0,12761.0,20547.0,937.295,1.87,1.95,12.89,2.01,0.045,2461.0,0
53613.0,1654714658.0,25.88,48.39,162.0,438.0,12773.0,20551.0,937.338,2.06,2.14,14.15,2.206,0.05,2471.0,0
53623.0,1654714668.0,25.71,48.89,164.0,440.0,12763.0,20560.0,937.311,2.13,2.21,14.66,2.287,0.052,2481.0,0
53633.0,1654714678.0,28.33,43.62,146.0,427.0,12779.0,20573.0,937.344,2.29,2.38,15.76,2.458,0.056,2491.0,0
53643.0,1654714688.0,28.69,42.42,172.0,430.0,12772.0,20549.0,937.329,1.83,1.9,12.59,1.964,0.044,2501.0,0
53653.0,1654714698.0,28.88,41.93,164.0,433.0,12770.0,20561.0,937.327,1.84,1.92,12.7,1.98,0.045,2511.0,0
53663.0,1654714708.0,26.3,46.95,159.0,448.0,12767.0,20569.0,937.297,1.99,2.07,13.71,2.138,0.048,2521.0,0
53673.0,1654714718.0,25.91,48.38,152.0,438.0,12770.0,20564.0,937.319,1.96,2.04,13.51,2.106,0.048,2531.0,0
53683.0,1654714728.0,25.72,48.98,167.0,444.0,12763.0,20562.0,937.333,1.99,2.07,13.72,2.139,0.048,2541.0,0
