NO_ID,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,fire_alarm
60748.0,1655128170.0,13.644,46.7,97.0,400.0,13198.0,21059.0,937.047,2.0,2.08,13.76,2.146,0.048,3862.0,0
60758.0,1655128180.0,13.775,41.59,186.0,400.0,13167.0,20966.0,937.024,1.77,1.84,12.19,1.901,0.043,3872.0,0
60768.0,1655128190.0,13.91,40.39,163.0,400.0,13216.0,20982.0,937.052,1.89,1.97,13.03,2.032,0.046,3882.0,0
60778.0,1655128200.0,14.049,39.76,140.0,400.0,13270.0,21020.0,937.058,1.86,1.93,12.81,1.998,0.045,3892.0,0
60788.0,1655128210.0,14.192,43.37,174.0,400.0,12820.0,20996.0,937.019,1.66,1.72,11.41,1.779,0.04,3902.0,0
60798.0,1655128220.0,14.339,48.93,250.0,400.0,13010.0,20907.0,937.008,1.64,1.7,11.29,1.761,0.04,3912.0,0
60808.0,1655128230.0,14.489,54.99,176.0,400.0,13290.0,20979.0,937.038,1.84,1.91,12.66,1.974,0.045,3922.0,0
60818.0,1655128240.0,14.642,59.91,489.0,400.0,12980.0,20668.0,937.091,1.34,1.4,9.24,1.441,0.033,3932.0,0
60828.0,1655128250.0,14.799,62.09,600.0,400.0,13137.0,20545.0,937.077,1.12,1.16,7.68,1.198,0.027,3942.0,0
60838.0,1655128260.0,14.96,62.42,685.0,400.0,13244.0,20466.0,937.078,0.89,0.92,6.12,0.954,0.022,3952.0,0
60848.0,1655128270.0,15.123,70.61,912.0,400.0,13312.0,20397.0,937.077,0.79,0.82,5.44,0.848,0.019,3962.0,0
60858.0,1655128280.0,15.289,73.37,1358.0,400.0,13337.0,20273.0,937.081,0.92,0.95,6.32,0.986,0.022,3972.0,0
60868.0,1655128290.0,15.459,74.67,1534.0,400.0,13393.0,20231.0,937.088,0.71,0.74,4.87,0.76,0.017,3982.0,0
60878.0,1655128300.0,15.631,66.55,1795.0,400.0,13409.0,20168.0,937.044,0.74,0.77,5.09,0.794,0.018,3992.0,0
60888.0,1655128310.0,15.805,64.48,2134.0,400.0,13361.0,20077.0,937.024,0.75,0.78,5.19,0.809,0.018,4002.0,0
60898.0,1655128320.0,15.983,61.09,2235.0,400.0,13363.0,20066.0,937.016,0.61,0.64,4.22,0.658,0.015,4012.0,0
60908.0,1655128330.0,16.163,64.17,2281.0,400.0,13371.0,20045.0,936.995,0.61,0.64,4.23,0.659,0.015,4022.0,0
60918.0,1655128340.0,16.345,60.98,2438.0,400.0,13390.0,20004.0,936.94,0.92,0.95,6.31,0.985,0.022,4032.0,0
60928.0,1655128350.0,16.529,61.56,2542.0,400.0,13335.0,19980.0,936.925,1.06,1.1,7.29,1.137,0.026,4042.0,0
60938.0,1655128360.0,16.714,54.59,2706.0,400.0,13302.0,19947.0,936.934,0.79,0.82,5.41,0.844,0.019,4052.0,0
60948.0,1655128370.0,16.9,52.91,2911.0,400.0,13300.0,19894.0,936.965,0.63,0.65,4.31,0.672,0.015,4062.0,0
60958.0,1655128380.0,17.087,50.97,3145.0,400.0,13267.0,19825.0,936.967,0.48,0.5,3.29,0.513,0.012,4072.0,0
60968.0,1655128390.0,17.274,57.63,3177.0,400.0,13286.0,19820.0,936.957,0.42,0.44,2.89,0.451,0.01,4082.0,0
60978.0,1655128400.0,17.461,56.59,3377.0,400.0,13238.0,19764.0,936.915,0.54,0.56,3.74,0.583,0.013,4092.0,0
60988.0,1655128410.0,17.647,54.66,3266.0,400.0,13223.0,19799.0,936.894,0.87,0.91,6.0,0.935,0.021,4102.0,0
60998.0,1655128420.0,17.831,50.0,3841.0,400.0,13237.0,19715.0,936.951,0.73,0.76,5.01,0.782,0.018,4112.0,0
61008.0,1655128430.0,18.014,46.92,4894.0,400.0,13160.0,19646.0,936.901,0.57,0.59,3.93,0.612,0.014,4122.0,0
61018.0,1655128440.0,18.195,46.05,4925.0,400.0,13159.0,19640.0,936.918,0.41,0.43,2.85,0.444,0.01,4132.0,0
61028.0,1655128450.0,18.374,50.29,6339.0,400.0,13100.0,19555.0,936.885,0.39,0.4,2.68,0.418,0.009,4142.0,0
61038.0,1655128460.0,18.55,50.03,6162.0,400.0,13099.0,19568.0,936.892,0.35,0.37,2.43,0.379,0.009,4152.0,0
61048.0,1655128470.0,18.722,45.86,6316.0,400.0,13060.0,19547.0,936.921,0.41,0.43,2.84,0.443,0.01,4162.0,0
61058.0,1655128480.0,18.89,41.69,7492.0,400.0,13019.0,19497.0,936.9,0.39,0.4,2.67,0.417,0.009,4172.0,0
61068.0,1655128490.0,19.055,36.98,8291.0,400.0,12947.0,19433.0,936.886,0.42,0.44,2.9,0.452,0.01,4182.0,0
61078.0,1655128500.0,19.214,37.06,8130.0,400.0,12975.0,19436.0,936.887,0.47,0.49,3.22,0.502,0.011,4192.0,0
61088.0,1655128510.0,19.369,37.62,9014.0,400.0,12888.0,19387.0,936.858,0.42,0.44,2.92,0.455,0.01,4202.0,0
61098.0,1655128520.0,19.517,39.44,9183.0,400.0,12888.0,19372.0,936.895,0.66,0.69,4.57,0.712,0.016,4212.0,0
61108.0,1655128530.0,19.66,38.85,9413.0,400.0,12905.0,19360.0,936.866,0.47,0.49,3.21,0.501,0.011,4222.0,0
61118.0,1655128540.0,19.797,33.28,11896.0,497.0,12764.0,19203.0,936.906,0.4,0.42,2.78,0.434,0.01,4232.0,0
61128.0,1655128550.0,19.927,23.95,8583.0,428.0,12795.0,19413.0,936.864,0.42,0.43,2.88,0.449,0.01,4242.0,0
61138.0,1655128560.0,20.049,20.65,1973.0,400.0,13048.0,20123.0,936.79,1.49,1.55,10.24,1.597,0.036,4252.0,0
61148.0,1655128570.0,20.164,23.78,848.0,400.0,13156.0,20418.0,936.767,1.78,1.85,12.23,1.907,0.043,4262.0,0
61158.0,1655128580.0,20.27,32.77,2337.0,400.0,13148.0,20036.0,936.833,1.47,1.52,10.1,1.575,0.036,4272.0,0
61168.0,1655128590.0,20.368,36.51,3657.0,400.0,13111.0,19733.0,936.867,0.79,0.82,5.44,0.849,0.019,4282.0,0
61178.0,1655128600.0,20.457,28.84,3964.0,400.0,13072.0,19704.0,936.867,0.69,0.72,4.74,0.739,0.017,4292.0,0
